0001ADB0	Fists
000F6BB0	Fire Bandit's Knife+8
000F6BB1	Fire Bandit's Knife+9
000F6BB2	Fire Bandit's Knife+10
000F6C0C	Chaos Bandit's Knife
000F6C0D	Chaos Bandit's Knife+1
000F6C0E	Chaos Bandit's Knife+2
000F6C0F	Chaos Bandit's Knife+3
000F6C10	Chaos Bandit's Knife+4
000F6C11	Chaos Bandit's Knife+5
000F6C12	Chaos Bandit's Knife+6
000F6C13	Chaos Bandit's Knife+7
000F6C14	Chaos Bandit's Knife+8
000F6C15	Chaos Bandit's Knife+9
000F6C16	Chaos Bandit's Knife+10
000F6C70	Lightning Bandit's Knife
000F6C71	Lightning Bandit's Knife+1
000F6C72	Lightning Bandit's Knife+2
000F6C73	Lightning Bandit's Knife+3
000F6C74	Lightning Bandit's Knife+4
000F6C75	Lightning Bandit's Knife+5
000F6C76	Lightning Bandit's Knife+6
000F6C77	Lightning Bandit's Knife+7
000F6C78	Lightning Bandit's Knife+8
000F6C79	Lightning Bandit's Knife+9
000F6C7A	Lightning Bandit's Knife+10
000F6CD4	Deep Bandit's Knife
000F6CD5	Deep Bandit's Knife+1
000F6CD6	Deep Bandit's Knife+2
000F6CD7	Deep Bandit's Knife+3
000F6CD8	Deep Bandit's Knife+4
000F6CD9	Deep Bandit's Knife+5
000F6CDA	Deep Bandit's Knife+6
000F6CDB	Deep Bandit's Knife+7
000F6CDC	Deep Bandit's Knife+8
000F6CDD	Deep Bandit's Knife+9
000F6CDE	Deep Bandit's Knife+10
000F6D38	Dark Bandit's Knife
000F6D39	Dark Bandit's Knife+1
000F6D3A	Dark Bandit's Knife+2
000F6D3B	Dark Bandit's Knife+3
000F6D3C	Dark Bandit's Knife+4
000F6D3D	Dark Bandit's Knife+5
000F6D3E	Dark Bandit's Knife+6
000F6D3F	Dark Bandit's Knife+7
000F6D40	Dark Bandit's Knife+8
000F6D41	Dark Bandit's Knife+9
000F6D42	Dark Bandit's Knife+10
000F6D9C	Poison Bandit's Knife
000F6D9D	Poison Bandit's Knife+1
000F6D9E	Poison Bandit's Knife+2
000F6D9F	Poison Bandit's Knife+3
000F6DA0	Poison Bandit's Knife+4
000F6DA1	Poison Bandit's Knife+5
000F6DA2	Poison Bandit's Knife+6
000F6DA3	Poison Bandit's Knife+7
000F6DA4	Poison Bandit's Knife+8
000F6DA5	Poison Bandit's Knife+9
000F6DA6	Poison Bandit's Knife+10
000F6E00	Blood Bandit's Knife
000F6E01	Blood Bandit's Knife+1
000F6E02	Blood Bandit's Knife+2
000F6E03	Blood Bandit's Knife+3
000F6E04	Blood Bandit's Knife+4
000F6E05	Blood Bandit's Knife+5
000F6E06	Blood Bandit's Knife+6
000F6E07	Blood Bandit's Knife+7
000F6E08	Blood Bandit's Knife+8
000F6E09	Blood Bandit's Knife+9
000F6E0A	Blood Bandit's Knife+10
000F6E64	Raw Bandit's Knife
000F6E65	Raw Bandit's Knife+1
000F6E66	Raw Bandit's Knife+2
000F6E67	Raw Bandit's Knife+3
000F6E68	Raw Bandit's Knife+4
000F6E69	Raw Bandit's Knife+5
000F6E6A	Raw Bandit's Knife+6
000F6E6B	Raw Bandit's Knife+7
000F6E6C	Raw Bandit's Knife+8
000F6E6D	Raw Bandit's Knife+9
000F6E6E	Raw Bandit's Knife+10
000F6EC8	Blessed Bandit's Knife
000F6EC9	Blessed Bandit's Knife+1
000F6ECA	Blessed Bandit's Knife+2
000F6ECB	Blessed Bandit's Knife+3
000F6ECC	Blessed Bandit's Knife+4
000F6ECD	Blessed Bandit's Knife+5
000F6ECE	Blessed Bandit's Knife+6
000F6ECF	Blessed Bandit's Knife+7
000F6ED0	Blessed Bandit's Knife+8
000F6ED1	Blessed Bandit's Knife+9
000F6ED2	Blessed Bandit's Knife+10
000F6F2C	Hollow Bandit's Knife
000F6F2D	Hollow Bandit's Knife+1
000F6F2E	Hollow Bandit's Knife+2
000F6F2F	Hollow Bandit's Knife+3
000F6F30	Hollow Bandit's Knife+4
000F6F31	Hollow Bandit's Knife+5
000F6F32	Hollow Bandit's Knife+6
000F6F33	Hollow Bandit's Knife+7
000F6F34	Hollow Bandit's Knife+8
000F6F35	Hollow Bandit's Knife+9
000F6F36	Hollow Bandit's Knife+10
000F9060	Parrying Dagger
000F9061	Parrying Dagger+1
000F9062	Parrying Dagger+2
000F9063	Parrying Dagger+3
000F9064	Parrying Dagger+4
000F9065	Parrying Dagger+5
000F9066	Parrying Dagger+6
000F9067	Parrying Dagger+7
000F9068	Parrying Dagger+8
000F9069	Parrying Dagger+9
000F906A	Parrying Dagger+10
000F90C4	Heavy Parrying Dagger
000F90C5	Heavy Parrying Dagger+1
000F90C6	Heavy Parrying Dagger+2
000F90C7	Heavy Parrying Dagger+3
000F90C8	Heavy Parrying Dagger+4
000F90C9	Heavy Parrying Dagger+5
000F90CA	Heavy Parrying Dagger+6
000F90CB	Heavy Parrying Dagger+7
000F90CC	Heavy Parrying Dagger+8
000F90CD	Heavy Parrying Dagger+9
000F90CE	Heavy Parrying Dagger+10
000F9128	Sharp Parrying Dagger
000F9129	Sharp Parrying Dagger+1
000F912A	Sharp Parrying Dagger+2
000F912B	Sharp Parrying Dagger+3
000F912C	Sharp Parrying Dagger+4
000F912D	Sharp Parrying Dagger+5
000F912E	Sharp Parrying Dagger+6
000F912F	Sharp Parrying Dagger+7
000F9130	Sharp Parrying Dagger+8
000F9131	Sharp Parrying Dagger+9
000F9132	Sharp Parrying Dagger+10
000F918C	Refined Parrying Dagger
000F918D	Refined Parrying Dagger+1
000F918E	Refined Parrying Dagger+2
000F918F	Refined Parrying Dagger+3
000F9190	Refined Parrying Dagger+4
000F9191	Refined Parrying Dagger+5
000F9192	Refined Parrying Dagger+6
000F9193	Refined Parrying Dagger+7
000F9194	Refined Parrying Dagger+8
000F9195	Refined Parrying Dagger+9
000F9196	Refined Parrying Dagger+10
000F91F0	Simple Parrying Dagger
000F91F1	Simple Parrying Dagger+1
000F91F2	Simple Parrying Dagger+2
000F91F3	Simple Parrying Dagger+3
000F91F4	Simple Parrying Dagger+4
000F91F5	Simple Parrying Dagger+5
000F91F6	Simple Parrying Dagger+6
000F91F7	Simple Parrying Dagger+7
000F91F8	Simple Parrying Dagger+8
000F91F9	Simple Parrying Dagger+9
000F91FA	Simple Parrying Dagger+10
000F9254	Crystal Parrying Dagger
000F9255	Crystal Parrying Dagger+1
000F9256	Crystal Parrying Dagger+2
000F9257	Crystal Parrying Dagger+3
000F9258	Crystal Parrying Dagger+4
000F9259	Crystal Parrying Dagger+5
000F925A	Crystal Parrying Dagger+6
000F925B	Crystal Parrying Dagger+7
000F925C	Crystal Parrying Dagger+8
000F925D	Crystal Parrying Dagger+9
000F925E	Crystal Parrying Dagger+10
000F92B8	Fire Parrying Dagger
000F92B9	Fire Parrying Dagger+1
000F92BA	Fire Parrying Dagger+2
000F92BB	Fire Parrying Dagger+3
000F92BC	Fire Parrying Dagger+4
000F92BD	Fire Parrying Dagger+5
000F92BE	Fire Parrying Dagger+6
000F92BF	Fire Parrying Dagger+7
000F92C0	Fire Parrying Dagger+8
000F92C1	Fire Parrying Dagger+9
000F92C2	Fire Parrying Dagger+10
000F931C	Chaos Parrying Dagger
000F931D	Chaos Parrying Dagger+1
000F931E	Chaos Parrying Dagger+2
000F931F	Chaos Parrying Dagger+3
000F9320	Chaos Parrying Dagger+4
000F9321	Chaos Parrying Dagger+5
000F9322	Chaos Parrying Dagger+6
000F9323	Chaos Parrying Dagger+7
000F9324	Chaos Parrying Dagger+8
000F9325	Chaos Parrying Dagger+9
000F9326	Chaos Parrying Dagger+10
000F9380	Lightning Parrying Dagger
000F9381	Lightning Parrying Dagger+1
000F9382	Lightning Parrying Dagger+2
000F9383	Lightning Parrying Dagger+3
000F9384	Lightning Parrying Dagger+4
000F9385	Lightning Parrying Dagger+5
000F9386	Lightning Parrying Dagger+6
000F9387	Lightning Parrying Dagger+7
000F9388	Lightning Parrying Dagger+8
000F9389	Lightning Parrying Dagger+9
000F938A	Lightning Parrying Dagger+10
000F93E4	Deep Parrying Dagger
000F93E5	Deep Parrying Dagger+1
000F93E6	Deep Parrying Dagger+2
000F93E7	Deep Parrying Dagger+3
000F93E8	Deep Parrying Dagger+4
000F93E9	Deep Parrying Dagger+5
000F93EA	Deep Parrying Dagger+6
000F93EB	Deep Parrying Dagger+7
000F93EC	Deep Parrying Dagger+8
000F93ED	Deep Parrying Dagger+9
000F93EE	Deep Parrying Dagger+10
000F9448	Dark Parrying Dagger
000F9449	Dark Parrying Dagger+1
000F944A	Dark Parrying Dagger+2
000F944B	Dark Parrying Dagger+3
000F944C	Dark Parrying Dagger+4
000F944D	Dark Parrying Dagger+5
000F944E	Dark Parrying Dagger+6
000F944F	Dark Parrying Dagger+7
000F9450	Dark Parrying Dagger+8
000F9451	Dark Parrying Dagger+9
000F9452	Dark Parrying Dagger+10
000F94AC	Poison Parrying Dagger
000F94AD	Poison Parrying Dagger+1
000F94AE	Poison Parrying Dagger+2
000F94AF	Poison Parrying Dagger+3
000F94B0	Poison Parrying Dagger+4
000F94B1	Poison Parrying Dagger+5
000F94B2	Poison Parrying Dagger+6
000F94B3	Poison Parrying Dagger+7
000F94B4	Poison Parrying Dagger+8
000F94B5	Poison Parrying Dagger+9
000F94B6	Poison Parrying Dagger+10
000F9510	Blood Parrying Dagger
000F9511	Blood Parrying Dagger+1
000F9512	Blood Parrying Dagger+2
000F9513	Blood Parrying Dagger+3
000F9514	Blood Parrying Dagger+4
000F9515	Blood Parrying Dagger+5
000F9516	Blood Parrying Dagger+6
000F9517	Blood Parrying Dagger+7
000F9518	Blood Parrying Dagger+8
000F9519	Blood Parrying Dagger+9
000F951A	Blood Parrying Dagger+10
000F9574	Raw Parrying Dagger
000F9575	Raw Parrying Dagger+1
000F9576	Raw Parrying Dagger+2
000F9577	Raw Parrying Dagger+3
000F9578	Raw Parrying Dagger+4
000F9579	Raw Parrying Dagger+5
000F957A	Raw Parrying Dagger+6
000F957B	Raw Parrying Dagger+7
000F957C	Raw Parrying Dagger+8
000F957D	Raw Parrying Dagger+9
000F957E	Raw Parrying Dagger+10
000F95D8	Blessed Parrying Dagger
000F95D9	Blessed Parrying Dagger+1
000F95DA	Blessed Parrying Dagger+2
000F95DB	Blessed Parrying Dagger+3
000F95DC	Blessed Parrying Dagger+4
000F95DD	Blessed Parrying Dagger+5
000F95DE	Blessed Parrying Dagger+6
000F95DF	Blessed Parrying Dagger+7
000F95E0	Blessed Parrying Dagger+8
000F95E1	Blessed Parrying Dagger+9
000F95E2	Blessed Parrying Dagger+10
000F963C	Hollow Parrying Dagger
000F963D	Hollow Parrying Dagger+1
000F963E	Hollow Parrying Dagger+2
000F963F	Hollow Parrying Dagger+3
000F9640	Hollow Parrying Dagger+4
000F9641	Hollow Parrying Dagger+5
000F9642	Hollow Parrying Dagger+6
000F9643	Hollow Parrying Dagger+7
000F9644	Hollow Parrying Dagger+8
000F9645	Hollow Parrying Dagger+9
000F9646	Hollow Parrying Dagger+10
000FDE80	Rotten Ghru Dagger
000FDE81	Rotten Ghru Dagger+1
000FDE82	Rotten Ghru Dagger+2
000FDE83	Rotten Ghru Dagger+3
000FDE84	Rotten Ghru Dagger+4
000FDE85	Rotten Ghru Dagger+5
000FDE86	Rotten Ghru Dagger+6
000FDE87	Rotten Ghru Dagger+7
000FDE88	Rotten Ghru Dagger+8
000FDE89	Rotten Ghru Dagger+9
000FDE8A	Rotten Ghru Dagger+10
000FDEE4	Heavy Rotten Ghru Dagger
000FDEE5	Heavy Rotten Ghru Dagger+1
000FDEE6	Heavy Rotten Ghru Dagger+2
000FDEE7	Heavy Rotten Ghru Dagger+3
000FDEE8	Heavy Rotten Ghru Dagger+4
000FDEE9	Heavy Rotten Ghru Dagger+5
000FDEEA	Heavy Rotten Ghru Dagger+6
000FDEEB	Heavy Rotten Ghru Dagger+7
000FDEEC	Heavy Rotten Ghru Dagger+8
000FDEED	Heavy Rotten Ghru Dagger+9
000FDEEE	Heavy Rotten Ghru Dagger+10
000FDF48	Sharp Rotten Ghru Dagger
000FDF49	Sharp Rotten Ghru Dagger+1
000FDF4A	Sharp Rotten Ghru Dagger+2
000FDF4B	Sharp Rotten Ghru Dagger+3
000FDF4C	Sharp Rotten Ghru Dagger+4
000FDF4D	Sharp Rotten Ghru Dagger+5
000FDF4E	Sharp Rotten Ghru Dagger+6
000FDF4F	Sharp Rotten Ghru Dagger+7
000FDF50	Sharp Rotten Ghru Dagger+8
000FDF51	Sharp Rotten Ghru Dagger+9
000FDF52	Sharp Rotten Ghru Dagger+10
000FDFAC	Refined Rotten Ghru Dagger
000FDFAD	Refined Rotten Ghru Dagger+1
000FDFAE	Refined Rotten Ghru Dagger+2
000FDFAF	Refined Rotten Ghru Dagger+3
000FDFB0	Refined Rotten Ghru Dagger+4
000FDFB1	Refined Rotten Ghru Dagger+5
000FDFB2	Refined Rotten Ghru Dagger+6
000FDFB3	Refined Rotten Ghru Dagger+7
000FDFB4	Refined Rotten Ghru Dagger+8
000FDFB5	Refined Rotten Ghru Dagger+9
000FDFB6	Refined Rotten Ghru Dagger+10
000FE010	Simple Rotten Ghru Dagger
000FE011	Simple Rotten Ghru Dagger+1
000FE012	Simple Rotten Ghru Dagger+2
000FE013	Simple Rotten Ghru Dagger+3
000FE014	Simple Rotten Ghru Dagger+4
000FE015	Simple Rotten Ghru Dagger+5
000FE016	Simple Rotten Ghru Dagger+6
000FE017	Simple Rotten Ghru Dagger+7
000FE018	Simple Rotten Ghru Dagger+8
000FE019	Simple Rotten Ghru Dagger+9
000FE01A	Simple Rotten Ghru Dagger+10
000FE074	Crystal Rotten Ghru Dagger
000FE075	Crystal Rotten Ghru Dagger+1
000FE076	Crystal Rotten Ghru Dagger+2
000FE077	Crystal Rotten Ghru Dagger+3
000FE078	Crystal Rotten Ghru Dagger+4
000FE079	Crystal Rotten Ghru Dagger+5
000FE07A	Crystal Rotten Ghru Dagger+6
000FE07B	Crystal Rotten Ghru Dagger+7
000FE07C	Crystal Rotten Ghru Dagger+8
000FE07D	Crystal Rotten Ghru Dagger+9
000FE07E	Crystal Rotten Ghru Dagger+10
000FE0D8	Fire Rotten Ghru Dagger
000FE0D9	Fire Rotten Ghru Dagger+1
000FE0DA	Fire Rotten Ghru Dagger+2
000FE0DB	Fire Rotten Ghru Dagger+3
000FE0DC	Fire Rotten Ghru Dagger+4
000FE0DD	Fire Rotten Ghru Dagger+5
000FE0DE	Fire Rotten Ghru Dagger+6
000FE0DF	Fire Rotten Ghru Dagger+7
000FE0E0	Fire Rotten Ghru Dagger+8
000FE0E1	Fire Rotten Ghru Dagger+9
000FE0E2	Fire Rotten Ghru Dagger+10
000FE13C	Chaos Rotten Ghru Dagger
000FE13D	Chaos Rotten Ghru Dagger+1
000FE13E	Chaos Rotten Ghru Dagger+2
000FE13F	Chaos Rotten Ghru Dagger+3
000FE140	Chaos Rotten Ghru Dagger+4
000FE141	Chaos Rotten Ghru Dagger+5
000FE142	Chaos Rotten Ghru Dagger+6
000FE143	Chaos Rotten Ghru Dagger+7
000FE144	Chaos Rotten Ghru Dagger+8
000FE145	Chaos Rotten Ghru Dagger+9
000FE146	Chaos Rotten Ghru Dagger+10
000FE1A0	Lightning Rotten Ghru Dagger
000FE1A1	Lightning Rotten Ghru Dagger+1
000FE1A2	Lightning Rotten Ghru Dagger+2
000FE1A3	Lightning Rotten Ghru Dagger+3
000FE1A4	Lightning Rotten Ghru Dagger+4
000FE1A5	Lightning Rotten Ghru Dagger+5
000FE1A6	Lightning Rotten Ghru Dagger+6
000FE1A7	Lightning Rotten Ghru Dagger+7
000FE1A8	Lightning Rotten Ghru Dagger+8
000FE1A9	Lightning Rotten Ghru Dagger+9
000FE1AA	Lightning Rotten Ghru Dagger+10
000FE204	Deep Rotten Ghru Dagger
000FE205	Deep Rotten Ghru Dagger+1
000FE206	Deep Rotten Ghru Dagger+2
000FE207	Deep Rotten Ghru Dagger+3
000FE208	Deep Rotten Ghru Dagger+4
000FE209	Deep Rotten Ghru Dagger+5
000FE20A	Deep Rotten Ghru Dagger+6
000FE20B	Deep Rotten Ghru Dagger+7
000FE20C	Deep Rotten Ghru Dagger+8
000FE20D	Deep Rotten Ghru Dagger+9
000FE20E	Deep Rotten Ghru Dagger+10
000FE268	Dark Rotten Ghru Dagger
000FE269	Dark Rotten Ghru Dagger+1
000FE26A	Dark Rotten Ghru Dagger+2
000FE26B	Dark Rotten Ghru Dagger+3
000FE26C	Dark Rotten Ghru Dagger+4
000FE26D	Dark Rotten Ghru Dagger+5
000FE26E	Dark Rotten Ghru Dagger+6
000FE26F	Dark Rotten Ghru Dagger+7
000FE270	Dark Rotten Ghru Dagger+8
000FE271	Dark Rotten Ghru Dagger+9
000FE272	Dark Rotten Ghru Dagger+10
000FE2CC	Poison Rotten Ghru Dagger
000FE2CD	Poison Rotten Ghru Dagger+1
000FE2CE	Poison Rotten Ghru Dagger+2
000FE2CF	Poison Rotten Ghru Dagger+3
000FE2D0	Poison Rotten Ghru Dagger+4
000FE2D1	Poison Rotten Ghru Dagger+5
000FE2D2	Poison Rotten Ghru Dagger+6
000FE2D3	Poison Rotten Ghru Dagger+7
000FE2D4	Poison Rotten Ghru Dagger+8
000FE2D5	Poison Rotten Ghru Dagger+9
000FE2D6	Poison Rotten Ghru Dagger+10
000FE330	Blood Rotten Ghru Dagger
000FE331	Blood Rotten Ghru Dagger+1
000FE332	Blood Rotten Ghru Dagger+2
000FE333	Blood Rotten Ghru Dagger+3
000FE334	Blood Rotten Ghru Dagger+4
000FE335	Blood Rotten Ghru Dagger+5
000FE336	Blood Rotten Ghru Dagger+6
000FE337	Blood Rotten Ghru Dagger+7
000FE338	Blood Rotten Ghru Dagger+8
000FE339	Blood Rotten Ghru Dagger+9
000FE33A	Blood Rotten Ghru Dagger+10
000FE394	Raw Rotten Ghru Dagger
000FE395	Raw Rotten Ghru Dagger+1
000FE396	Raw Rotten Ghru Dagger+2
000FE397	Raw Rotten Ghru Dagger+3
000FE398	Raw Rotten Ghru Dagger+4
000FE399	Raw Rotten Ghru Dagger+5
000FE39A	Raw Rotten Ghru Dagger+6
000FE39B	Raw Rotten Ghru Dagger+7
000FE39C	Raw Rotten Ghru Dagger+8
000FE39D	Raw Rotten Ghru Dagger+9
000FE39E	Raw Rotten Ghru Dagger+10
000FE3F8	Blessed Rotten Ghru Dagger
000FE3F9	Blessed Rotten Ghru Dagger+1
000FE3FA	Blessed Rotten Ghru Dagger+2
000FE3FB	Blessed Rotten Ghru Dagger+3
000FE3FC	Blessed Rotten Ghru Dagger+4
000FE3FD	Blessed Rotten Ghru Dagger+5
000FE3FE	Blessed Rotten Ghru Dagger+6
000FE3FF	Blessed Rotten Ghru Dagger+7
000FE400	Blessed Rotten Ghru Dagger+8
000FE401	Blessed Rotten Ghru Dagger+9
000FE402	Blessed Rotten Ghru Dagger+10
000FE45C	Hollow Rotten Ghru Dagger
000FE45D	Hollow Rotten Ghru Dagger+1
000FE45E	Hollow Rotten Ghru Dagger+2
000FE45F	Hollow Rotten Ghru Dagger+3
000FE460	Hollow Rotten Ghru Dagger+4
000FE461	Hollow Rotten Ghru Dagger+5
000FE462	Hollow Rotten Ghru Dagger+6
000FE463	Hollow Rotten Ghru Dagger+7
000FE464	Hollow Rotten Ghru Dagger+8
000FE465	Hollow Rotten Ghru Dagger+9
